,method,dataset,missing_schema,accuracy,balanced_accuracy,f1_score,roc_auc,missing_rate,fold,n_neighbors
0,Oracle,College,MCAR,0.9322373696872494,0.8188572303921569,0.715008431703204,0.9584489456159822,0.1,0,
1,Naive,College,MCAR,0.9326383319967922,0.8150593669071402,0.7133105802047781,0.9571642041250461,0.1,0,
2,KNN_hard,College,MCAR,0.9302325581395349,0.8109955951720311,0.7040816326530612,0.9572928227894932,0.1,0,5.0
3,KNN_proba,College,MCAR,0.9330392943063353,0.8139465986866444,0.7135506003430532,0.9574922539770625,0.1,0,5.0
4,EM,College,MCAR,0.9322373696872494,0.8134870398631151,0.7111111111111111,0.9569069667961524,0.1,0,
5,Oracle,College,MCAR,0.9262229350441058,0.8194381821124677,0.7003257328990228,0.9574561251387347,0.1,1,
6,Naive,College,MCAR,0.9250200481154771,0.8187488438771735,0.6969205834683955,0.9569532117092119,0.1,1,
7,KNN_hard,College,MCAR,0.9238171611868484,0.816716958009619,0.6925566343042071,0.9573275064742878,0.1,1,5.0
8,KNN_proba,College,MCAR,0.9242181234963913,0.8156041897891232,0.6926829268292682,0.9574156608398077,0.1,1,5.0
9,EM,College,MCAR,0.92542101042502,0.8203211709211986,0.6990291262135923,0.9570601530706622,0.1,1,
10,Oracle,College,MCAR,0.9262229350441058,0.8086978010543839,0.6923076923076923,0.9595674944506103,0.1,2,
11,Naive,College,MCAR,0.9282277465918204,0.8165594362745098,0.703150912106136,0.9589735363485017,0.1,2,
12,KNN_hard,College,MCAR,0.9282277465918204,0.8179019839067703,0.7041322314049587,0.9596672100443951,0.1,2,5.0
13,KNN_proba,College,MCAR,0.9290296712109062,0.8170189950980392,0.7054908485856906,0.9601282140214576,0.1,2,5.0
14,EM,College,MCAR,0.9270248596631917,0.8145275504069552,0.6986754966887417,0.9591108259341473,0.1,2,
15,Oracle,College,MCAR,0.9290296712109062,0.7888254948205697,0.6833631484794276,0.9494687615612282,0.1,3,
16,Naive,College,MCAR,0.9274258219727346,0.7798510913799481,0.6715063520871143,0.9497014312800592,0.1,3,
17,KNN_hard,College,MCAR,0.9258219727345629,0.7816170689974102,0.669051878354204,0.9496927603588605,0.1,3,5.0
18,KNN_proba,College,MCAR,0.9246190858059342,0.7769000878653348,0.6618705035971223,0.9496161672216056,0.1,3,5.0
19,EM,College,MCAR,0.9266238973536488,0.7780489849241583,0.6678765880217786,0.9495988253792084,0.1,3,
20,Oracle,College,MCAR,0.9382270356999599,0.8290110605074821,0.7380952380952381,0.9619778789850358,0.1,4,
21,Naive,College,MCAR,0.9366225431207381,0.8254066363044892,0.7312925170068028,0.960829899515651,0.1,4,
22,KNN_hard,College,MCAR,0.9370236662655436,0.8242940793754066,0.7316239316239316,0.9608891780524832,0.1,4,5.0
23,KNN_proba,College,MCAR,0.9358202968311271,0.822261982216439,0.726962457337884,0.9612650907250778,0.1,4,5.0
24,EM,College,MCAR,0.9370236662655436,0.8269789633485144,0.733446519524618,0.9608732740547966,0.1,4,
25,Oracle,College,MAR1,0.9322373696872494,0.8188572303921569,0.715008431703204,0.9584489456159822,0.1,0,
26,Naive,College,MAR1,0.9306335204490778,0.8139104698483166,0.7072758037225042,0.9578072974472809,0.1,0,
27,KNN_hard,College,MAR1,0.9310344827586207,0.8101126063633,0.7054794520547946,0.9570630433777284,0.1,0,5.0
28,KNN_proba,College,MAR1,0.9314354450681636,0.8130274810395857,0.7086882453151618,0.9577335946170922,0.1,0,5.0
29,EM,College,MAR1,0.9302325581395349,0.8109955951720311,0.7040816326530612,0.9577494913059563,0.1,0,
30,Oracle,College,MAR1,0.9262229350441058,0.8194381821124677,0.7003257328990228,0.9574561251387347,0.1,1,
31,Naive,College,MAR1,0.9282277465918204,0.8179019839067703,0.7041322314049587,0.9577856201442841,0.1,1,
32,KNN_hard,College,MAR1,0.9278267842822775,0.8216998473917869,0.7058823529411765,0.9578000716796151,0.1,1,5.0
33,KNN_proba,College,MAR1,0.9286287089013633,0.8248445014798371,0.7100977198697068,0.9577653879948206,0.1,1,5.0
34,EM,College,MAR1,0.9278267842822775,0.8176722044950056,0.7029702970297029,0.9577466009988901,0.1,1,
35,Oracle,College,MAR1,0.9262229350441058,0.8086978010543839,0.6923076923076923,0.9595674944506103,0.1,2,
36,Naive,College,MAR1,0.9278267842822775,0.8055892758046614,0.6938775510204082,0.9597423580281169,0.1,2,
37,KNN_hard,College,MAR1,0.9310344827586207,0.8181678921568627,0.7114093959731543,0.9603377612837587,0.1,2,5.0
38,KNN_proba,College,MAR1,0.9306335204490778,0.8152530174805771,0.7082630691399663,0.9601874653163152,0.1,2,5.0
39,EM,College,MAR1,0.9278267842822775,0.8055892758046614,0.6938775510204082,0.9597972738623751,0.1,2,
40,Oracle,College,MAR1,0.9290296712109062,0.7888254948205697,0.6833631484794276,0.9494687615612282,0.1,3,
41,Naive,College,MAR1,0.9286287089013633,0.7832255248797633,0.677536231884058,0.9495511353126156,0.1,3,
42,KNN_hard,College,MAR1,0.9246190858059342,0.771529897336293,0.656934306569343,0.9500265908250092,0.1,3,5.0
43,KNN_proba,College,MAR1,0.9250200481154771,0.7717596767480577,0.6581352833638026,0.9498141532556418,0.1,3,5.0
44,EM,College,MAR1,0.9290296712109062,0.783455304291528,0.6787658802177858,0.9495395740843506,0.1,3,
45,Oracle,College,MAR1,0.9382270356999599,0.8290110605074821,0.7380952380952381,0.9619778789850358,0.1,4,
46,Naive,College,MAR1,0.9370236662655436,0.8283214053350683,0.7343485617597293,0.9610959300224101,0.1,4,
