,method,dataset,missing_schema,accuracy,balanced_accuracy,f1_score,roc_auc,missing_rate,fold,n_neighbors
0,Oracle,Electricity,MCAR,0.7511861414542645,0.7297429601959804,0.6672568983325955,0.8159517065557333,0.1,0,
1,Naive,Electricity,MCAR,0.7511861414542645,0.7295385980788666,0.6666666666666666,0.8159730845972456,0.1,0,
2,KNN_hard,Electricity,MCAR,0.7500827540549487,0.7282392217794902,0.6646928201332346,0.8155662539890728,0.1,0,5.0
3,KNN_proba,Electricity,MCAR,0.7498620765750855,0.7278431051082058,0.6638991845811713,0.8156279961649089,0.1,0,5.0
4,EM,Electricity,MCAR,0.7511861414542645,0.7295385980788666,0.6666666666666666,0.8159527032010253,0.1,0,
5,Oracle,Electricity,MCAR,0.760785611828313,0.7404344476492127,0.6824838898652607,0.8238037266560757,0.1,1,
6,Naive,Electricity,MCAR,0.7601235793887234,0.7398251236338484,0.6817915690866511,0.8239510806624901,0.1,1,
7,KNN_hard,Electricity,MCAR,0.7597925631689286,0.7391628279212172,0.6804638191692353,0.8237479643519912,0.1,1,5.0
8,KNN_proba,Electricity,MCAR,0.7605649343484497,0.7399702102722236,0.681538009979454,0.8237309217174991,0.1,1,5.0
9,EM,Electricity,MCAR,0.7602339181286549,0.7399550612637861,0.6819844870481487,0.823929553124184,0.1,1,
10,Oracle,Electricity,MCAR,0.7485102626351798,0.7287520676419548,0.6687018461985754,0.8099925705702368,0.1,2,
11,Naive,Electricity,MCAR,0.7479585080556168,0.7279317399644754,0.6672494172494172,0.8100085210400404,0.1,2,
12,KNN_hard,Electricity,MCAR,0.7480688589715294,0.7280958054999712,0.6675404106596767,0.8098385986914135,0.1,2,5.0
13,KNN_proba,Electricity,MCAR,0.7477378062237917,0.7275354206350729,0.6664721330609863,0.8098147726771443,0.1,2,5.0
14,EM,Electricity,MCAR,0.748179209887442,0.728123494518646,0.6674438939084815,0.8099764705647788,0.1,2,
15,Oracle,Electricity,MCAR,0.7580004414036636,0.7390431612236104,0.6827715897584261,0.8202844616753825,0.1,3,
16,Naive,Electricity,MCAR,0.7574486868241006,0.7384614924505679,0.6820023148148148,0.8205155441066627,0.1,3,
17,KNN_hard,Electricity,MCAR,0.7572279849922754,0.737894702475139,0.6807893209518282,0.8203474660311069,0.1,3,5.0
18,KNN_proba,Electricity,MCAR,0.7576693886559258,0.7382441174542751,0.6810920708684287,0.8202242984970919,0.1,3,5.0
19,EM,Electricity,MCAR,0.757890090487751,0.7388109074297039,0.6823052418187083,0.8205068710387071,0.1,3,
20,Oracle,Electricity,MCAR,0.7594350033105275,0.7391644595619453,0.6810067310506293,0.8245460284451706,0.1,4,
21,Naive,Electricity,MCAR,0.7600971088060031,0.7396374408368414,0.6813251245968924,0.824528632464041,0.1,4,
22,KNN_hard,Electricity,MCAR,0.7596557051423527,0.7390834610824737,0.6804577464788732,0.8242245766334091,0.1,4,5.0
23,KNN_proba,Electricity,MCAR,0.7593246523946149,0.7385571703467807,0.6795003673769288,0.8242898738691677,0.1,4,5.0
24,EM,Electricity,MCAR,0.7603178106378283,0.7398291953910121,0.681524926686217,0.8245013671297204,0.1,4,
25,Oracle,Electricity,MAR1,0.7511861414542645,0.7297429601959804,0.6672568983325955,0.8159517065557333,0.1,0,
26,Naive,Electricity,MAR1,0.750524109014675,0.7292017568863207,0.666764922623434,0.816443351678251,0.1,0,
27,KNN_hard,Electricity,MAR1,0.7503034315348118,0.7284309763336609,0.6648896786613357,0.8152602838844449,0.1,0,5.0
28,KNN_proba,Electricity,MAR1,0.7496413990952223,0.7276513505540352,0.6637023862457389,0.8154604600913327,0.1,0,5.0
