,method,dataset,missing_schema,accuracy,balanced_accuracy,f1_score,roc_auc,missing_rate,fold,n_neighbors
0,Oracle,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6637636672972362,0.1,0,
1,Naive,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6645414688700908,0.1,0,
2,KNN_hard,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6656360424028268,0.1,0,5.0
3,KNN_proba,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6653861940964414,0.1,0,5.0
4,EM,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6636893076822405,0.1,0,
5,Oracle,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6833871696945901,0.1,1,
6,Naive,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.688648856051683,0.1,1,
7,KNN_hard,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6937499256403851,0.1,1,5.0
8,KNN_proba,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.690992671116346,0.1,1,5.0
9,EM,Employee,MCAR,0.9856334349151067,0.5,0.9927647445735585,0.6872598184435641,0.1,1,
10,Oracle,Employee,MCAR,0.9857764876632801,0.5,0.992837304487648,0.7017229153145357,0.1,2,
11,Naive,Employee,MCAR,0.9857764876632801,0.5,0.992837304487648,0.7007388644503737,0.1,2,
12,KNN_hard,Employee,MCAR,0.9857764876632801,0.5,0.992837304487648,0.7009597125069109,0.1,2,5.0
13,KNN_proba,Employee,MCAR,0.9857764876632801,0.5,0.992837304487648,0.7002731304535948,0.1,2,5.0
14,EM,Employee,MCAR,0.9857764876632801,0.5,0.992837304487648,0.7010228119516357,0.1,2,
15,Oracle,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6810945562234032,0.1,3,
16,Naive,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6820316253389438,0.1,3,
17,KNN_hard,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6821937531700453,0.1,3,5.0
18,KNN_proba,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6806884929400023,0.1,3,5.0
19,EM,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6816210998216593,0.1,3,
20,Oracle,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.7003714066002388,0.1,4,
21,Naive,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6975066524470146,0.1,4,
22,KNN_hard,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6966439538961995,0.1,4,5.0
23,KNN_proba,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6976390320522259,0.1,4,5.0
24,EM,Employee,MCAR,0.9856313497822932,0.5,0.9927636868649953,0.6974412063500562,0.1,4,
25,Oracle,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6637636672972362,0.1,0,
26,Naive,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6607074871209146,0.1,0,
27,KNN_hard,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6500458055228373,0.1,0,5.0
28,KNN_proba,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6561447811447811,0.1,0,5.0
29,EM,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6607134358901143,0.1,0,
30,Oracle,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6833871696945901,0.1,1,
31,Naive,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6836875825391727,0.1,1,
32,KNN_hard,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6703831602241497,0.1,1,5.0
33,KNN_proba,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6790133371405456,0.1,1,5.0
34,EM,Employee,MAR1,0.9856334349151067,0.5,0.9927647445735585,0.6826301888139343,0.1,1,
35,Oracle,Employee,MAR1,0.9857764876632801,0.5,0.992837304487648,0.7017229153145357,0.1,2,
36,Naive,Employee,MAR1,0.9857764876632801,0.5,0.992837304487648,0.6996451407418091,0.1,2,
37,KNN_hard,Employee,MAR1,0.9857764876632801,0.5,0.992837304487648,0.6948480805749863,0.1,2,5.0
38,KNN_proba,Employee,MAR1,0.9857764876632801,0.5,0.992837304487648,0.7000387610874739,0.1,2,5.0
39,EM,Employee,MAR1,0.9857764876632801,0.5,0.992837304487648,0.7001529410350713,0.1,2,
40,Oracle,Employee,MAR1,0.9856313497822932,0.5,0.9927636868649953,0.6810945562234032,0.1,3,
41,Naive,Employee,MAR1,0.9856313497822932,0.5,0.9927636868649953,0.6865221200370664,0.1,3,
42,KNN_hard,Employee,MAR1,0.9856313497822932,0.5,0.9927636868649953,0.6784648130547114,0.1,3,5.0
43,KNN_proba,Employee,MAR1,0.9856313497822932,0.5,0.9927636868649953,0.6835904323755893,0.1,3,5.0
44,EM,Employee,MAR1,0.9856313497822932,0.5,0.9927636868649953,0.6865801290775521,0.1,3,
45,Oracle,Employee,MAR1,0.9856313497822932,0.5,0.9927636868649953,0.7003714066002388,0.1,4,
46,Naive,Employee,MAR1,0.9856313497822932,0.5,0.9927636868649953,0.699568204501204,0.1,4,
47,KNN_hard,Employee,MAR1,0.9856313497822932,0.5,0.9927636868649953,0.6947802275441799,0.1,4,5.0
48,KNN_proba,Employee,MAR1,0.9856313497822932,0.5,0.9927636868649953,0.6976672928668216,0.1,4,5.0
49,EM,Employee,MAR1,0.9856313497822932,0.5,0.9927636868649953,0.6996024149609776,0.1,4,
50,Oracle,Employee,MAR2,0.9856334349151067,0.5,0.9927647445735585,0.6637636672972362,0.1,0,
51,Naive,Employee,MAR2,0.9856334349151067,0.5,0.9927647445735585,0.6607045127363148,0.1,0,
52,KNN_hard,Employee,MAR2,0.9856334349151067,0.5,0.9927647445735585,0.6558175988388002,0.1,0,5.0
53,KNN_proba,Employee,MAR2,0.9856334349151067,0.5,0.9927647445735585,0.6598285564716659,0.1,0,5.0
54,EM,Employee,MAR2,0.9856334349151067,0.5,0.9927647445735585,0.6599668653555579,0.1,0,
55,Oracle,Employee,MAR2,0.9856334349151067,0.5,0.9927647445735585,0.6833871696945901,0.1,1,
56,Naive,Employee,MAR2,0.9856334349151067,0.5,0.9927647445735585,0.6728236427883071,0.1,1,
57,KNN_hard,Employee,MAR2,0.9856334349151067,0.5,0.9927647445735585,0.662087601575234,0.1,1,5.0
58,KNN_proba,Employee,MAR2,0.9856334349151067,0.5,0.9927647445735585,0.6680274476210872,0.1,1,5.0
59,EM,Employee,MAR2,0.9856334349151067,0.5,0.9927647445735585,0.6708947543753198,0.1,1,
60,Oracle,Employee,MAR2,0.9857764876632801,0.5,0.992837304487648,0.7017229153145357,0.1,2,
61,Naive,Employee,MAR2,0.9857764876632801,0.5,0.992837304487648,0.7019242325905627,0.1,2,
62,KNN_hard,Employee,MAR2,0.9857764876632801,0.5,0.992837304487648,0.7023869618518785,0.1,2,5.0
63,KNN_proba,Employee,MAR2,0.9857764876632801,0.5,0.992837304487648,0.7019963462416768,0.1,2,5.0
64,EM,Employee,MAR2,0.9857764876632801,0.5,0.992837304487648,0.7019948438739453,0.1,2,
65,Oracle,Employee,MAR2,0.9856313497822932,0.5,0.9927636868649953,0.6810945562234032,0.1,3,
66,Naive,Employee,MAR2,0.9856313497822932,0.5,0.9927636868649953,0.6817802528301719,0.1,3,
67,KNN_hard,Employee,MAR2,0.9856313497822932,0.5,0.9927636868649953,0.6816389487571934,0.1,3,5.0
68,KNN_proba,Employee,MAR2,0.9856313497822932,0.5,0.9927636868649953,0.6801277388819724,0.1,3,5.0
69,EM,Employee,MAR2,0.9856313497822932,0.5,0.9927636868649953,0.681140665973533,0.1,3,
70,Oracle,Employee,MAR2,0.9856313497822932,0.5,0.9927636868649953,0.7003714066002388,0.1,4,
71,Naive,Employee,MAR2,0.9856313497822932,0.5,0.9927636868649953,0.6997779294937299,0.1,4,
72,KNN_hard,Employee,MAR2,0.9856313497822932,0.5,0.9927636868649953,0.698396124401131,0.1,4,5.0
73,KNN_proba,Employee,MAR2,0.9856313497822932,0.5,0.9927636868649953,0.7000471509380359,0.1,4,5.0
74,EM,Employee,MAR2,0.9856313497822932,0.5,0.9927636868649953,0.6997080211628879,0.1,4,
75,Oracle,Employee,MNAR,0.9856334349151067,0.5,0.9927647445735585,0.6637636672972362,0.1,0,
76,Naive,Employee,MNAR,0.9856334349151067,0.5,0.9927647445735585,0.6711282435664061,0.1,0,
77,KNN_hard,Employee,MNAR,0.9856334349151067,0.5,0.9927647445735585,0.665374296558042,0.1,0,5.0
78,KNN_proba,Employee,MNAR,0.9856334349151067,0.5,0.9927647445735585,0.6674117500089232,0.1,0,5.0
79,EM,Employee,MNAR,0.9856334349151067,0.5,0.9927647445735585,0.6692380221532165,0.1,0,
80,Oracle,Employee,MNAR,0.9856334349151067,0.5,0.9927647445735585,0.6833871696945901,0.1,1,
81,Naive,Employee,MNAR,0.9856334349151067,0.5,0.9927647445735585,0.6736059059380615,0.1,1,
