,method,dataset,missing_schema,accuracy,balanced_accuracy,f1_score,roc_auc,missing_rate,fold,n_neighbors
0,Oracle,Spam,MCAR,0.9142236699239956,0.9075505791048313,0.8895104895104895,0.9660534968452857,0.1,0,
1,Naive,Spam,MCAR,0.9207383279044516,0.9129269231908528,0.8970380818053597,0.9645279777244586,0.1,0,
2,KNN_hard,Spam,MCAR,0.9163952225841476,0.9093426938001719,0.8920056100981767,0.96415770609319,0.1,0,5.0
3,KNN_proba,Spam,MCAR,0.9163952225841476,0.9093426938001719,0.8920056100981767,0.9633924780552346,0.1,0,5.0
4,EM,Spam,MCAR,0.9196525515743756,0.9115495127225333,0.8954802259887006,0.9643848060270348,0.1,0,
5,Oracle,Spam,MCAR,0.9282608695652174,0.9220440078935264,0.907563025210084,0.9718385091324541,0.1,1,
6,Naive,Spam,MCAR,0.9271739130434783,0.9201868530251098,0.9057665260196905,0.9712746858168761,0.1,1,
7,KNN_hard,Spam,MCAR,0.9260869565217391,0.9192891869568873,0.9044943820224719,0.9703943301136054,0.1,1,5.0
8,KNN_proba,Spam,MCAR,0.9239130434782609,0.9170141104203451,0.901685393258427,0.970171768278509,0.1,1,5.0
9,EM,Spam,MCAR,0.9239130434782609,0.9165343660202482,0.9014084507042254,0.9711015821673568,0.1,1,
10,Oracle,Spam,MCAR,0.9228260869565217,0.919474655152801,0.9023383768913342,0.9668679614819652,0.1,2,
11,Naive,Spam,MCAR,0.9195652173913044,0.9158221681479393,0.8980716253443526,0.9672933018779273,0.1,2,
12,KNN_hard,Spam,MCAR,0.925,0.9203104984890524,0.9042995839112344,0.9665365916385992,0.1,2,5.0
13,KNN_proba,Spam,MCAR,0.9260869565217391,0.921208164557275,0.9055555555555556,0.9667640992922535,0.1,2,5.0
14,EM,Spam,MCAR,0.9206521739130434,0.916719834216162,0.8993103448275862,0.9670262276758115,0.1,2,
15,Oracle,Spam,MCAR,0.9163043478260869,0.9057753618883542,0.8895265423242468,0.9704647616784491,0.1,3,
16,Naive,Spam,MCAR,0.9152173913043479,0.904879304540684,0.8882521489971347,0.9702370343967207,0.1,3,
17,KNN_hard,Spam,MCAR,0.9163043478260869,0.9062605200102972,0.8898426323319027,0.9702419849898019,0.1,3,5.0
18,KNN_proba,Spam,MCAR,0.9163043478260869,0.9062605200102972,0.8898426323319027,0.9701231707558566,0.1,3,5.0
19,EM,Spam,MCAR,0.9152173913043479,0.904879304540684,0.8882521489971347,0.9700637636388839,0.1,3,
20,Oracle,Spam,MCAR,0.9184782608695652,0.9061120022178657,0.8911465892597968,0.9710291292896889,0.1,4,
